2021-07-29 14:28:36,112 Read Config Success
2021-07-29 14:28:37,313 Wallet Connected
2021-07-29 14:28:39,326 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-29 14:30:26,107 Please Input Buy Amount!
2021-07-29 14:30:31,328 Start Bot
2021-07-29 14:36:11,751 Checking the condition, current price:99.9689%
2021-07-29 14:36:12,618 Checking the condition, current price:99.9689%
2021-07-29 14:36:13,508 Checking the condition, current price:99.9689%
2021-07-29 14:36:14,397 Checking the condition, current price:99.96928%
2021-07-29 14:36:15,284 Checking the condition, current price:99.96928%
2021-07-29 14:36:16,163 Checking the condition, current price:99.96928%
2021-07-29 14:36:17,945 Checking the condition, current price:99.9758%
2021-07-29 14:36:18,847 Checking the condition, current price:99.9758%
2021-07-29 14:36:19,699 Checking the condition, current price:99.9758%
2021-07-29 14:36:21,212 Checking the condition, current price:99.97792%
2021-07-29 14:36:22,105 Checking the condition, current price:99.97792%
2021-07-29 14:36:22,865 Checking the condition, current price:99.95613%
2021-07-29 14:36:23,746 Checking the condition, current price:99.95613%
2021-07-29 14:36:24,639 Checking the condition, current price:99.95613%
2021-07-29 14:36:25,533 Checking the condition, current price:99.95613%
2021-07-29 14:36:26,424 Checking the condition, current price:99.9537%
2021-07-29 14:36:27,321 Checking the condition, current price:99.9537%
2021-07-29 14:36:28,199 Checking the condition, current price:99.9537%
2021-07-29 14:36:29,082 Checking the condition, current price:99.95536%
2021-07-29 14:36:29,965 Checking the condition, current price:99.95536%
2021-07-29 14:36:30,865 Checking the condition, current price:99.95536%
2021-07-29 14:36:31,765 Checking the condition, current price:99.95536%
2021-07-29 14:36:32,653 Checking the condition, current price:99.95749%
2021-07-29 14:36:33,364 Checking the condition, current price:99.95749%
2021-07-29 14:36:34,219 Checking the condition, current price:99.95749%
2021-07-29 14:36:35,099 Checking the condition, current price:99.95552%
2021-07-29 14:36:35,967 Checking the condition, current price:99.95552%
2021-07-29 14:36:36,855 Checking the condition, current price:99.95552%
2021-07-29 14:36:37,740 Checking the condition, current price:99.95552%
2021-07-29 14:36:38,703 Checking the condition, current price:99.95552%
2021-07-29 14:36:39,596 Checking the condition, current price:99.95552%
2021-07-29 14:36:40,462 Checking the condition, current price:99.95552%
2021-07-29 14:36:41,331 Checking the condition, current price:99.9586%
2021-07-29 14:36:42,210 Checking the condition, current price:99.9586%
2021-07-29 14:36:43,103 Checking the condition, current price:99.9586%
2021-07-29 14:36:43,915 Checking the condition, current price:99.96001%
2021-07-29 14:36:44,764 Checking the condition, current price:99.96001%
2021-07-29 14:36:45,617 Checking the condition, current price:99.96001%
2021-07-29 14:36:46,487 Checking the condition, current price:99.96001%
2021-07-29 14:36:47,371 Checking the condition, current price:99.96065%
2021-07-29 14:36:48,222 Checking the condition, current price:99.96065%
2021-07-29 14:36:49,725 Checking the condition, current price:99.96065%
2021-07-29 14:36:50,604 Checking the condition, current price:99.96772%
2021-07-29 14:36:51,488 Checking the condition, current price:99.96772%
2021-07-29 14:36:52,373 Checking the condition, current price:99.96772%
2021-07-29 14:36:53,263 Checking the condition, current price:99.97161%
2021-07-29 14:36:54,157 Checking the condition, current price:99.97161%
2021-07-29 14:36:54,890 Checking the condition, current price:99.97161%
2021-07-29 14:36:55,769 Checking the condition, current price:99.97212%
2021-07-29 14:36:56,659 Checking the condition, current price:99.97212%
2021-07-29 14:36:57,528 Checking the condition, current price:99.97212%
2021-07-29 14:36:58,419 Checking the condition, current price:99.97212%
2021-07-29 14:36:59,318 Checking the condition, current price:99.97215%
2021-07-29 14:37:00,194 Checking the condition, current price:99.97215%
2021-07-29 14:37:01,074 Checking the condition, current price:99.97215%
2021-07-29 14:37:01,966 Checking the condition, current price:99.97227%
2021-07-29 14:37:02,855 Checking the condition, current price:99.97227%
2021-07-29 14:37:03,769 Checking the condition, current price:99.97227%
2021-07-29 14:37:04,656 Checking the condition, current price:99.97227%
2021-07-29 14:37:05,429 Checking the condition, current price:99.97212%
2021-07-29 14:37:06,375 Checking the condition, current price:99.97212%
2021-07-29 14:37:07,879 Checking the condition, current price:99.97212%
2021-07-29 14:37:08,763 Checking the condition, current price:99.97248%
2021-07-29 14:37:09,629 Checking the condition, current price:99.97248%
2021-07-29 14:37:10,505 Checking the condition, current price:99.97248%
2021-07-29 14:37:11,401 Checking the condition, current price:99.97194%
2021-07-29 14:37:12,296 Checking the condition, current price:99.97194%
2021-07-29 14:37:13,177 Checking the condition, current price:99.97194%
2021-07-29 14:37:14,066 Checking the condition, current price:100.02017%
2021-07-29 14:37:14,974 Checking the condition, current price:100.02017%
2021-07-29 14:37:16,357 Checking the condition, current price:100.02017%
2021-07-29 14:37:17,274 Checking the condition, current price:100.02017%
2021-07-29 14:37:18,171 Checking the condition, current price:100.02068%
2021-07-29 14:37:19,048 Checking the condition, current price:100.02068%
2021-07-29 14:37:19,920 Checking the condition, current price:100.03965%
2021-07-29 14:37:20,806 Checking the condition, current price:100.03965%
2021-07-29 14:37:21,694 Checking the condition, current price:100.03965%
2021-07-29 14:37:22,584 Checking the condition, current price:100.03585%
2021-07-29 14:37:23,471 Checking the condition, current price:100.03585%
2021-07-29 14:37:24,400 Checking the condition, current price:100.03585%
2021-07-29 14:37:25,278 Checking the condition, current price:100.03585%
2021-07-29 14:37:26,159 Checking the condition, current price:100.0357%
2021-07-29 14:37:26,937 Checking the condition, current price:100.0357%
2021-07-29 14:37:27,833 Checking the condition, current price:100.0357%
2021-07-29 14:37:28,733 Checking the condition, current price:100.0357%
2021-07-29 14:37:29,638 Checking the condition, current price:100.0358%
2021-07-29 14:37:30,524 Checking the condition, current price:100.0358%
2021-07-29 14:37:32,037 Checking the condition, current price:100.0358%
2021-07-29 14:37:32,901 Checking the condition, current price:100.03759%
2021-07-29 14:37:33,762 Checking the condition, current price:100.03759%
2021-07-29 14:37:35,278 Checking the condition, current price:100.03759%
2021-07-29 14:37:36,153 Checking the condition, current price:100.03759%
2021-07-29 14:37:37,045 Checking the condition, current price:100.03947%
2021-07-29 14:37:37,861 Checking the condition, current price:100.03947%
2021-07-29 14:37:38,763 Checking the condition, current price:100.03947%
2021-07-29 14:37:39,648 Checking the condition, current price:100.03947%
2021-07-29 14:37:40,539 Checking the condition, current price:100.03947%
2021-07-29 14:37:41,435 Checking the condition, current price:100.03743%
2021-07-29 14:37:42,319 Checking the condition, current price:100.03743%
2021-07-29 14:37:43,217 Checking the condition, current price:100.03743%
2021-07-29 14:37:44,109 Checking the condition, current price:100.03925%
2021-07-29 14:37:45,008 Checking the condition, current price:100.03925%
2021-07-29 14:37:45,901 Checking the condition, current price:100.03925%
2021-07-29 14:37:46,794 Checking the condition, current price:100.03925%
2021-07-29 14:37:47,698 Checking the condition, current price:100.03761%
2021-07-29 14:37:48,467 Checking the condition, current price:100.03761%
2021-07-29 14:37:49,365 Checking the condition, current price:100.03761%
2021-07-29 14:37:50,285 Checking the condition, current price:100.04317%
2021-07-29 14:37:51,176 Checking the condition, current price:100.04317%
2021-07-29 14:37:52,063 Checking the condition, current price:100.04317%
2021-07-29 14:37:52,956 Checking the condition, current price:100.04317%
2021-07-29 14:37:53,841 Checking the condition, current price:100.04462%
2021-07-29 14:37:54,724 Checking the condition, current price:100.04462%
2021-07-29 14:37:55,604 Checking the condition, current price:100.04462%
2021-07-29 14:37:56,506 Checking the condition, current price:100.04497%
2021-07-29 14:37:57,455 Checking the condition, current price:100.04497%
2021-07-29 14:37:58,342 Checking the condition, current price:100.04497%
2021-07-29 14:37:59,069 Checking the condition, current price:100.09475%
