2021-07-28 19:28:28,345 Read Config Success
2021-07-28 19:28:29,307 Wallet Connected
2021-07-28 19:28:30,828 Access Level Tier 3: Snipping,Max Speed:10, Auto Sells, Limit Sells, Limit Buys, Stop Loss
2021-07-28 19:28:37,788 Start Bot
2021-07-28 19:32:02,366 Checking the condition, current price:100.01688%
2021-07-28 19:32:03,099 Checking the condition, current price:100.01688%
2021-07-28 19:32:03,852 Checking the condition, current price:100.01688%
2021-07-28 19:32:04,634 Checking the condition, current price:100.01703%
2021-07-28 19:32:05,393 Checking the condition, current price:100.01703%
2021-07-28 19:32:06,202 Checking the condition, current price:100.01703%
2021-07-28 19:32:07,020 Checking the condition, current price:100.01698%
2021-07-28 19:32:07,865 Checking the condition, current price:100.01698%
2021-07-28 19:32:08,720 Checking the condition, current price:100.01698%
2021-07-28 19:32:09,544 Checking the condition, current price:100.01698%
2021-07-28 19:32:10,383 Checking the condition, current price:100.01698%
2021-07-28 19:32:11,196 Checking the condition, current price:100.01698%
2021-07-28 19:32:12,062 Checking the condition, current price:100.01698%
2021-07-28 19:32:12,900 Checking the condition, current price:100.01825%
2021-07-28 19:32:13,667 Checking the condition, current price:100.01825%
2021-07-28 19:32:14,533 Checking the condition, current price:100.01825%
2021-07-28 19:32:15,533 Checking the condition, current price:100.01825%
2021-07-28 19:32:16,342 Checking the condition, current price:100.01825%
2021-07-28 19:32:17,186 Checking the condition, current price:100.01825%
2021-07-28 19:32:18,201 Checking the condition, current price:100.01818%
2021-07-28 19:32:19,013 Checking the condition, current price:100.01831%
2021-07-28 19:32:19,739 Checking the condition, current price:100.01831%
2021-07-28 19:32:20,461 Checking the condition, current price:100.01831%
2021-07-28 19:32:21,269 Checking the condition, current price:100.01831%
2021-07-28 19:32:22,241 Checking the condition, current price:100.01831%
2021-07-28 19:32:23,290 Checking the condition, current price:100.01888%
2021-07-28 19:32:24,259 Checking the condition, current price:100.01888%
2021-07-28 19:32:25,222 Checking the condition, current price:100.01888%
2021-07-28 19:32:26,021 Checking the condition, current price:100.01888%
2021-07-28 19:32:27,441 Checking the condition, current price:100.01888%
2021-07-28 19:32:28,283 Checking the condition, current price:100.01892%
2021-07-28 19:32:29,139 Checking the condition, current price:100.01892%
2021-07-28 19:32:29,948 Checking the condition, current price:100.01861%
2021-07-28 19:32:30,783 Checking the condition, current price:100.01861%
2021-07-28 19:32:31,809 Checking the condition, current price:100.01861%
2021-07-28 19:32:32,607 Checking the condition, current price:100.01839%
2021-07-28 19:32:33,354 Checking the condition, current price:100.01839%
2021-07-28 19:32:34,104 Checking the condition, current price:100.01839%
2021-07-28 19:32:35,001 Checking the condition, current price:100.01839%
2021-07-28 19:32:35,860 Checking the condition, current price:100.01839%
2021-07-28 19:32:36,691 Checking the condition, current price:100.01699%
2021-07-28 19:32:37,521 Checking the condition, current price:100.01699%
2021-07-28 19:32:38,256 Checking the condition, current price:100.01699%
2021-07-28 19:32:38,975 Checking the condition, current price:100.01699%
2021-07-28 19:32:39,739 Checking the condition, current price:100.01699%
2021-07-28 19:32:40,569 Checking the condition, current price:100.01699%
2021-07-28 19:32:41,288 Checking the condition, current price:100.01699%
2021-07-28 19:32:42,021 Checking the condition, current price:100.01699%
2021-07-28 19:32:42,759 Checking the condition, current price:100.01667%
2021-07-28 19:32:43,502 Checking the condition, current price:100.01667%
2021-07-28 19:32:44,210 Checking the condition, current price:100.01667%
2021-07-28 19:32:45,001 Checking the condition, current price:100.01667%
2021-07-28 19:32:45,736 Checking the condition, current price:100.01667%
2021-07-28 19:32:46,677 Checking the condition, current price:100.01996%
2021-07-28 19:32:47,585 Checking the condition, current price:100.01996%
2021-07-28 19:32:48,322 Checking the condition, current price:100.01996%
2021-07-28 19:32:49,084 Checking the condition, current price:100.01914%
2021-07-28 19:32:49,900 Checking the condition, current price:100.01914%
2021-07-28 19:32:50,762 Checking the condition, current price:100.01914%
2021-07-28 19:32:51,567 Checking the condition, current price:100.01909%
2021-07-28 19:32:52,374 Checking the condition, current price:100.01909%
2021-07-28 19:32:53,188 Checking the condition, current price:100.01909%
2021-07-28 19:32:54,557 Checking the condition, current price:100.01909%
2021-07-28 19:32:55,358 Checking the condition, current price:100.01909%
2021-07-28 19:32:56,150 Checking the condition, current price:100.01909%
2021-07-28 19:32:56,965 Checking the condition, current price:100.01909%
2021-07-28 19:32:57,842 Checking the condition, current price:100.02137%
2021-07-28 19:32:58,630 Checking the condition, current price:100.02137%
2021-07-28 19:32:59,464 Checking the condition, current price:100.0187%
2021-07-28 19:33:00,221 Checking the condition, current price:100.0187%
2021-07-28 19:33:00,993 Checking the condition, current price:100.0187%
2021-07-28 19:33:01,740 Checking the condition, current price:100.02076%
2021-07-28 19:33:02,533 Checking the condition, current price:100.02113%
2021-07-28 19:33:03,393 Checking the condition, current price:100.02113%
2021-07-28 19:33:04,197 Checking the condition, current price:100.02113%
2021-07-28 19:33:04,944 Checking the condition, current price:100.02101%
2021-07-28 19:33:05,692 Checking the condition, current price:100.02101%
2021-07-28 19:33:06,484 Checking the condition, current price:100.02101%
2021-07-28 19:33:07,294 Checking the condition, current price:100.02101%
2021-07-28 19:33:08,082 Checking the condition, current price:100.02142%
2021-07-28 19:33:08,846 Checking the condition, current price:100.02142%
2021-07-28 19:33:09,594 Checking the condition, current price:100.02142%
2021-07-28 19:33:10,431 Checking the condition, current price:100.02142%
2021-07-28 19:33:11,163 Checking the condition, current price:100.02141%
2021-07-28 19:33:11,885 Checking the condition, current price:100.02141%
2021-07-28 19:33:12,616 Checking the condition, current price:100.02141%
2021-07-28 19:33:13,403 Checking the condition, current price:100.02141%
2021-07-28 19:33:14,146 Checking the condition, current price:100.02141%
2021-07-28 19:33:14,917 Checking the condition, current price:100.02141%
2021-07-28 19:33:15,657 Checking the condition, current price:100.01907%
2021-07-28 19:33:16,406 Checking the condition, current price:100.01907%
2021-07-28 19:33:17,182 Checking the condition, current price:100.01907%
2021-07-28 19:33:17,979 Checking the condition, current price:100.01907%
2021-07-28 19:33:18,771 Checking the condition, current price:100.02078%
2021-07-28 19:33:19,602 Checking the condition, current price:100.02078%
2021-07-28 19:33:20,428 Checking the condition, current price:100.02078%
2021-07-28 19:33:21,232 Checking the condition, current price:100.02078%
2021-07-28 19:33:22,063 Checking the condition, current price:100.02078%
2021-07-28 19:33:22,880 Checking the condition, current price:100.02078%
2021-07-28 19:33:23,655 Checking the condition, current price:100.02078%
2021-07-28 19:33:24,430 Checking the condition, current price:100.02078%
2021-07-28 19:33:25,243 Checking the condition, current price:100.02078%
2021-07-28 19:33:26,017 Checking the condition, current price:100.02078%
2021-07-28 19:33:26,795 Checking the condition, current price:100.02078%
2021-07-28 19:33:27,617 Checking the condition, current price:100.02286%
2021-07-28 19:33:28,440 Checking the condition, current price:100.02286%
2021-07-28 19:33:29,197 Checking the condition, current price:100.02286%
2021-07-28 19:33:30,019 Checking the condition, current price:100.02314%
2021-07-28 19:33:30,831 Checking the condition, current price:100.02314%
2021-07-28 19:33:31,644 Checking the condition, current price:100.02314%
2021-07-28 19:33:32,437 Checking the condition, current price:100.02314%
2021-07-28 19:33:33,243 Checking the condition, current price:100.02311%
2021-07-28 19:33:34,084 Checking the condition, current price:100.02311%
2021-07-28 19:33:34,838 Checking the condition, current price:100.02311%
2021-07-28 19:33:35,640 Checking the condition, current price:100.02311%
2021-07-28 19:33:36,424 Checking the condition, current price:100.02311%
2021-07-28 19:33:37,219 Checking the condition, current price:100.02617%
2021-07-28 19:33:38,019 Checking the condition, current price:100.02617%
2021-07-28 19:33:38,794 Checking the condition, current price:100.02617%
2021-07-28 19:33:39,575 Checking the condition, current price:100.0256%
2021-07-28 19:33:40,765 Checking the condition, current price:100.0256%
2021-07-28 19:33:41,569 Checking the condition, current price:100.0256%
2021-07-28 19:33:42,463 Checking the condition, current price:100.0256%
2021-07-28 19:33:43,197 Checking the condition, current price:100.02552%
2021-07-28 19:33:43,943 Checking the condition, current price:100.02552%
2021-07-28 19:33:44,674 Checking the condition, current price:100.02552%
2021-07-28 19:33:45,421 Checking the condition, current price:100.02501%
2021-07-28 19:33:46,179 Checking the condition, current price:100.02501%
2021-07-28 19:33:46,950 Checking the condition, current price:100.02501%
2021-07-28 19:33:47,706 Checking the condition, current price:100.02501%
2021-07-28 19:33:48,659 Checking the condition, current price:100.02484%
2021-07-28 19:33:49,698 Checking the condition, current price:100.02484%
2021-07-28 19:33:50,695 Checking the condition, current price:100.02484%
2021-07-28 19:33:51,529 Checking the condition, current price:100.02484%
2021-07-28 19:33:52,407 Checking the condition, current price:100.02484%
2021-07-28 19:33:53,281 Checking the condition, current price:100.02484%
2021-07-28 19:33:54,136 Checking the condition, current price:100.02484%
2021-07-28 19:33:54,917 Checking the condition, current price:100.02704%
2021-07-28 19:33:55,797 Checking the condition, current price:100.02704%
2021-07-28 19:33:56,640 Checking the condition, current price:100.02704%
2021-07-28 19:33:57,353 Checking the condition, current price:100.02704%
